GUID,Title,Type,Filename,VirusTotal
0687a5ca-f788-4cbf-9525-18708eae5091,XAPKs Installer,APK,io.apkmody.sai_v2.1.6.apk,
43278509-8b3b-42e4-bac0-c0d646ac79db,Aquaria,APK,com.bit_blot.aquaria_humble_v1.1.apk,
45f822d4-c90e-4847-bfbe-e63e63288097,My Time At Portia,APK,com.pathea.mtap_v1.0.11232.apk,
c29817ca-e667-4beb-a237-ef266e8ed074,Spelunky 1.1.7,APK,com.spelunky.spelunky_v1.1.7.apk,
b788ca01-899c-4a23-aff2-aa40737549b3,Kero Blaster,APK,jp.studiopixel.keroblaster_v1.6.0.apk,
4b868555-e942-4ca8-b012-c492ebd06014,Ankora,APK,com.Chibig.Ankora_v1.3.9.apk,
09ff9ba3-8dfd-45ca-8177-09cf69d65306,Drill Down (Paid),APK,de.dakror.quarry_v120-full.apk,
f6050cb0-6fa0-4684-ae17-347110f8e6c0,Dead Cells,APK,com.playdigious.deadcells.mobile_v2.4.14.apk,
bdef7b4a-e361-46ce-819e-7e9c903ee424,The Blockheads 1.7.5,APK,com.noodlecake.blockheads_v1.7.5.apk,
56aa2d59-4104-4df5-a636-b7cd66786c1a,The Blockheads 1.7.6,APK,com.noodlecake.blockheads_v1.7.6.apk,
ba4add58-215a-4733-9c06-5d176986040e,Stardew Valley,APK,com.chucklefish.stardewvalley_v1.4.5.144.apk,
322d6a8a-8757-4b85-b9df-6adf6bc49e77,Thomas Was Alone,APK,com.bossastudios.twadroid_v1.0.4.apk,
2844705b-3a91-4459-b25b-7b9ef8b28073,Neon Shadow,APK,com.crescentmoongames.neonshadow_v1.38.apk,
06a9f8c0-86c4-48bd-aecb-3abbc49f6e80,Human Fall Flat,APK,com.and.games505.humanfallflat_v1.9.apk,
75644b2e-71c0-4869-b4fc-fa335e7be08f,Forager,APK,com.humblebundle.forager_v1.0.13.apk,
0748c564-c26f-44b3-aaed-a96ec44f0f9a,Hue,APK,com.BadlandPublishing.HUE_v1.7.apk,
27fba95c-bc86-42df-96e7-3728ba00088f,Getting Over It,APK,com.noodlecake.gettingoverit_v1.9.4.apk,
e9f69d6d-4d11-4719-b2df-a8d0a254d016,Evoland,APK,air.com.shirogames.evoland12_v1.7.7.apk,
6c9c625b-c739-4e60-8c0d-526311303f49,Evoland II,APK,com.playdigious.evoland2_v2.0.2.apk,
52f41359-2d56-47dc-9dc6-d1c1fd91f2f2,Tesla vs Lovecraft,XAPK,com.the10tons.teslavslovecraft_v1.5.0.xapk,
c0cb7267-051c-42dd-b72b-48f10ace15fd,Terraria,APK,com.and.games505.TerrariaPaid_1.4.0.5.2.1.apk,
279a7dab-3d50-4313-8f43-9fc0ff902c28,Minecraft,APK,com.mojang.minecraftpe_1.18.20.27.apk,
bb24e5a4-402a-48a8-8fe4-c927d705d441,Tank Hero ,APK,com.clapfootgames.tankhero_v1.5.13.apk,
1185dd37-d1a8-4ae7-afae-8cac0d860fcb,Monument Valley 2,XAPK,com.ustwo.monumentvalley2_v2.0.6.xapk,
6b361e6b-2ae8-405f-b32f-bdf08462e1bf,Mini Metro,APK,nz.co.codepoint.minimetro_v2.2.0.apk,
ae7fd146-36bf-4923-8f81-dc3b71ad8be1,Octodad,APK,com.younghorses.octodad_v1.0.27.apk,
6bf786c2-1d2f-4c64-8795-ee101149939d,TaffyTales,APK,com.UberPie.TaffyTales_v0.8.1c.apk,
c0b22123-035a-4d60-8c8f-4add73a71bcb,Dandara,APK,com.rawfury.longhathouse.Dandara_v1.4.6.apk,
d3755f64-dee3-490f-b098-c6ba452e9148,Boris & the Dark Survival,APK,com.jds.batds_v1.13.apk,
4bcc18f4-d72c-4f76-9502-b8f75b947742,A Town Uncovered,APK,atown.geeseki_v0.17.apk,
880a5569-d2c2-4a00-a61b-60dcedfeceed,Bendy & the Ink Machine,XAPK,com.jds.batim_v1.0.829.xapk,
